,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_France,Geography_Germany,Geography_Spain
48,550,Male,3.6635616461296463,2,103391.38,1,0,1,90878.13,0,False,True,False
49,776,Female,3.6375861597263857,2,103769.22,2,1,0,194099.12,0,False,True,False
50,698,Male,3.8066624897703196,10,116363.37,2,1,0,198059.16,0,False,True,False
51,585,Male,3.6109179126442243,5,146050.97,2,0,0,86424.57,0,False,True,False
52,788,Female,3.5263605246161616,5,0.0,2,0,0,116978.19,0,True,False,False
53,655,Male,3.7376696182833684,8,125561.97,1,0,0,164040.94,1,False,True,False
54,601,Male,3.7612001156935624,1,98495.72,1,1,0,40014.76,1,False,True,False
55,619,Male,3.784189633918261,1,125211.92,1,1,1,113410.49,0,True,False,False
56,656,Male,3.828641396489095,5,127864.4,1,1,0,87107.57,0,True,False,False
57,725,Male,2.995732273553991,0,75888.2,1,0,0,45613.75,0,False,True,False
58,511,Female,4.204692619390966,4,0.0,1,1,0,1643.11,1,False,False,True
59,614,Male,3.9512437185814275,4,40685.92,1,1,1,46775.28,0,True,False,False
60,742,Male,3.58351893845611,5,136857.0,1,0,0,84509.57,0,False,True,False
61,687,Female,3.332204510175204,9,152328.88,2,0,0,126494.82,0,False,True,False
62,555,Male,3.5263605246161616,1,56084.69,2,0,0,178798.13,0,False,False,True
63,684,Male,4.04305126783455,8,78707.16,1,1,1,99398.36,0,False,False,True
64,603,Male,3.295836866004329,4,109166.37,1,1,1,92840.67,0,False,True,False
65,751,Female,3.6109179126442243,6,169831.46,2,1,1,27758.36,0,False,True,False
66,581,Female,3.5553480614894135,1,101633.04,1,1,0,110431.51,0,False,True,False
67,735,Male,3.784189633918261,10,123180.01,2,1,1,196673.28,0,False,True,False
68,661,Female,3.58351893845611,5,150725.53,2,0,1,113656.85,0,False,True,False
69,675,Female,3.091042453358316,8,98373.26,1,1,0,18203.0,0,True,False,False
70,738,Male,4.07753744390572,2,133745.44,4,1,0,28373.86,1,False,True,False
71,813,Male,3.4011973816621555,6,0.0,1,1,0,33953.87,0,True,False,False
72,657,Female,3.6375861597263857,0,163607.18,1,0,1,44203.55,0,False,False,True
73,604,Female,3.258096538021482,5,157780.84,2,1,1,58426.81,0,False,True,False
74,519,Male,3.6109179126442243,9,0.0,2,0,1,145562.4,0,True,False,False
75,735,Female,3.091042453358316,1,178718.19,2,1,0,22388.0,0,True,False,False
76,664,Male,4.02535169073515,8,0.0,2,1,1,139161.64,0,True,False,False
77,678,Female,3.4965075614664802,9,0.0,1,1,1,148210.64,0,True,False,False
78,757,Male,3.5263605246161616,5,77253.22,1,0,1,194239.63,0,False,False,True
79,416,Female,3.7376696182833684,10,122189.66,2,1,0,98301.61,0,False,True,False
80,665,Female,3.5553480614894135,1,96645.54,2,0,0,171413.66,0,True,False,False
81,777,Female,3.4965075614664802,2,0.0,1,1,0,136458.19,1,True,False,False
82,543,Female,3.6109179126442243,3,0.0,2,0,0,26019.59,0,True,False,False
83,506,Female,3.5553480614894135,4,90307.62,1,1,1,159235.29,0,True,False,False
84,493,Female,3.8501476017100584,4,0.0,2,1,0,1907.66,0,True,False,False
85,652,Female,4.330733340286331,10,0.0,2,1,1,114675.75,0,False,False,True
86,750,Male,3.1354942159291497,3,121681.82,1,1,0,128643.35,1,False,False,True
87,729,Male,3.4339872044851463,9,0.0,2,1,0,151869.35,0,True,False,False
88,646,Female,3.8501476017100584,4,0.0,3,1,0,93251.42,1,True,False,False
89,635,Female,3.367295829986474,3,81623.67,2,1,1,156791.36,0,False,True,False
90,647,Female,3.8066624897703196,5,0.0,3,1,1,174205.22,1,False,False,True
91,808,Male,3.828641396489095,7,118626.55,2,1,0,147132.46,0,True,False,False
92,524,Female,3.6109179126442243,10,0.0,2,1,0,109614.57,0,True,False,False
93,769,Male,3.4011973816621555,8,0.0,2,1,1,172290.61,0,True,False,False
94,730,Male,3.7612001156935624,4,0.0,2,0,1,85982.47,0,False,False,True
95,515,Male,3.58351893845611,10,176273.95,1,0,1,121277.78,0,False,False,True
96,773,Male,3.7376696182833684,9,102827.44,1,0,1,64595.25,0,False,False,True
97,814,Male,3.4011973816621555,8,97086.4,2,1,1,197276.13,0,False,True,False
98,710,Male,3.1354942159291497,8,0.0,2,0,0,99645.04,0,False,False,True
99,413,Male,3.5553480614894135,9,0.0,2,0,0,6534.18,0,True,False,False
100,665,Female,3.713572066704308,6,0.0,1,1,1,161848.03,0,True,False,False
101,623,Female,3.8066624897703196,6,0.0,2,0,0,167162.43,0,True,False,False
102,738,Male,3.4657359027997265,9,82674.15,1,1,0,41970.72,0,True,False,False
103,528,Male,3.6109179126442243,7,0.0,2,1,0,60536.56,0,False,False,True
104,670,Female,4.189654742026425,1,0.0,1,1,1,177655.68,1,False,False,True
105,622,Female,3.8501476017100584,4,107073.27,2,1,1,30984.59,1,False,False,True
106,582,Male,3.4965075614664802,1,88938.62,1,1,1,10054.53,0,False,True,False
107,785,Female,3.6109179126442243,2,99806.85,1,0,1,36976.52,0,False,True,False
108,605,Male,3.5263605246161616,5,150092.8,1,0,0,71862.79,0,False,False,True
109,479,Male,3.58351893845611,9,92833.89,1,1,0,99449.86,1,False,True,False
110,685,Male,3.4339872044851463,3,90536.81,1,0,1,63082.88,0,False,True,False
111,538,Male,3.6888794541139363,7,108055.1,2,1,0,27231.26,0,False,True,False
112,562,Male,3.7612001156935624,2,100238.35,1,0,0,86797.41,0,True,False,False
113,675,Male,3.6109179126442243,9,106190.55,1,0,1,22994.32,0,False,False,True
114,721,Male,3.367295829986474,9,154475.54,2,0,1,101300.94,1,False,True,False
115,628,Female,3.4339872044851463,9,132351.29,2,1,1,74169.13,0,False,True,False
116,668,Female,3.6375861597263857,6,167864.4,1,1,0,115638.29,0,False,True,False
117,506,Female,3.7376696182833684,1,0.0,2,1,0,31766.3,0,True,False,False
118,524,Female,3.4657359027997265,8,107818.63,1,1,0,199725.39,1,False,True,False
119,699,Male,3.5553480614894135,4,185173.81,2,1,0,120834.48,0,False,True,False
120,828,Male,3.5553480614894135,8,129433.34,2,0,0,38131.77,0,True,False,False
121,674,Male,3.6888794541139363,6,120193.42,1,0,0,100130.95,0,False,False,True
122,656,Female,3.6888794541139363,6,0.0,2,1,0,141069.88,0,True,False,False
123,684,Female,3.8918202981106265,10,126384.42,1,1,1,198129.36,0,False,True,False
124,625,Female,3.367295829986474,3,0.0,1,0,0,183646.41,0,True,False,False
125,432,Male,3.7612001156935624,9,152603.45,1,1,0,110265.24,1,True,False,False
126,549,Female,3.970291913552122,1,0.0,1,0,1,8636.05,1,True,False,False
127,625,Male,4.04305126783455,0,148507.24,1,1,0,46824.08,1,False,True,False
128,828,Female,3.7376696182833684,7,0.0,2,1,0,171378.77,0,True,False,False
129,770,Male,3.2188758248682006,9,101827.07,1,1,0,167256.35,0,True,False,False
130,758,Female,3.5553480614894135,3,0.0,2,1,1,124226.16,0,True,False,False
131,795,Female,3.5263605246161616,9,130862.43,1,1,1,114935.21,0,False,True,False
132,687,Male,3.6635616461296463,9,122570.87,1,1,1,35608.88,0,True,False,False
133,686,Male,3.258096538021482,1,0.0,2,0,1,16459.37,0,True,False,False
134,789,Male,3.6888794541139363,7,124828.46,2,1,1,124411.08,0,False,True,False
135,589,Female,3.9318256327243257,5,144895.05,2,1,1,34941.23,0,False,True,False
136,461,Female,3.5553480614894135,5,63663.93,1,0,1,167784.28,0,False,True,False
137,637,Male,3.713572066704308,2,133463.1,1,0,1,93165.34,0,True,False,False
138,584,Female,3.8918202981106265,2,213146.2,1,1,0,75161.25,1,False,False,True
139,579,Female,3.58351893845611,1,129490.36,2,0,1,8590.83,1,False,False,True
140,756,Male,3.8066624897703196,10,137452.09,1,1,0,189543.9,0,False,True,False
141,663,Male,3.5553480614894135,7,0.0,2,1,1,180427.24,0,True,False,False
142,682,Female,3.784189633918261,5,125851.93,1,1,1,193318.33,0,True,False,False
143,793,Male,3.970291913552122,2,0.0,1,1,0,159123.82,1,False,False,True
144,691,Female,3.4657359027997265,5,40915.55,1,1,0,126213.84,1,True,False,False
145,485,Female,3.091042453358316,5,113157.22,1,1,1,54141.5,0,False,False,True
146,635,Female,3.4011973816621555,8,138296.94,2,1,0,141075.51,0,False,False,True
147,650,Male,3.6375861597263857,5,106967.18,1,0,0,24495.03,0,True,False,False
148,735,Male,3.8066624897703196,9,120681.63,1,1,0,74836.34,0,True,False,False
149,416,Male,3.4965075614664802,0,0.0,2,0,1,878.87,0,True,False,False
150,754,Female,3.4965075614664802,7,0.0,2,1,0,89520.75,0,False,False,True
151,535,Female,3.8918202981106265,9,0.0,1,1,0,149892.79,1,True,False,False
152,716,Male,3.7612001156935624,8,0.0,2,1,0,180800.42,0,False,False,True
153,539,Male,3.6375861597263857,2,127609.59,1,1,0,98646.22,0,True,False,False
154,614,Female,3.784189633918261,6,0.0,2,1,1,109041.53,0,True,False,False
155,706,Male,4.060443010546419,7,0.0,1,1,0,17941.16,1,False,False,True
156,758,Female,3.5263605246161616,7,0.0,2,0,0,82996.47,0,True,False,False
157,586,Female,3.367295829986474,2,0.0,2,1,1,92067.35,0,False,False,True
158,646,Female,4.30406509320417,6,97259.25,1,0,1,104719.66,0,True,False,False
159,631,Female,3.5263605246161616,4,123246.7,1,0,0,112687.57,0,False,True,False
160,717,Female,3.1354942159291497,6,101060.25,1,0,1,84699.56,0,False,False,True
161,684,Male,3.4339872044851463,2,0.0,2,1,0,83473.82,0,True,False,False
162,800,Female,3.912023005428146,7,108007.36,1,0,0,47125.11,0,True,False,False
163,721,Female,3.6109179126442243,2,0.0,2,1,1,106977.8,0,False,False,True
164,683,Male,3.4011973816621555,0,133702.89,1,1,0,55582.54,1,False,False,True
165,660,Male,3.4657359027997265,9,125189.75,2,1,1,139874.43,0,False,True,False
166,704,Female,3.2188758248682006,7,113034.22,1,1,0,162503.48,1,False,True,False
167,615,Female,3.7376696182833684,9,109013.23,1,1,0,196499.96,0,False,False,True
168,667,Female,3.6888794541139363,2,0.0,2,1,0,40721.24,1,False,False,True
169,682,Male,3.2188758248682006,9,57929.81,2,0,0,53134.3,0,False,True,False
170,484,Female,3.4011973816621555,4,130114.39,1,1,0,164017.89,0,True,False,False
171,628,Male,3.332204510175204,5,95826.49,2,1,0,155996.96,0,False,True,False
172,480,Male,3.8066624897703196,10,129608.57,1,1,0,5472.7,1,False,True,False
173,578,Male,3.4339872044851463,4,169462.09,1,1,0,112187.11,0,True,False,False
174,512,Male,3.713572066704308,5,0.0,2,1,1,146457.83,0,True,False,False
175,484,Female,3.58351893845611,7,133868.21,1,1,1,27286.1,0,False,False,True
176,510,Female,3.4339872044851463,0,0.0,2,1,1,130553.47,0,True,False,False
177,606,Male,3.6109179126442243,5,190479.48,2,0,0,179351.89,0,False,True,False
178,597,Female,3.713572066704308,8,101993.12,1,0,1,94774.12,0,False,False,True
179,754,Female,4.02535169073515,3,161608.81,1,1,0,8080.85,1,False,True,False
180,850,Female,3.828641396489095,2,122311.21,1,1,1,19482.5,0,False,False,True
181,510,Male,4.189654742026425,2,0.0,2,1,1,48071.61,0,True,False,False
182,778,Female,3.828641396489095,1,162150.42,2,1,0,174531.27,0,False,True,False
183,636,Male,3.7612001156935624,2,0.0,2,1,1,55470.78,0,True,False,False
184,804,Female,3.9318256327243257,4,0.0,1,1,1,8546.87,1,True,False,False
185,514,Male,3.4965075614664802,8,0.0,2,1,0,95857.18,0,True,False,False
186,730,Female,3.6888794541139363,1,99010.67,1,1,0,194945.8,0,True,False,False
187,525,Female,3.6375861597263857,0,0.0,1,0,1,131521.72,0,False,False,True
188,616,Male,3.4339872044851463,5,0.0,2,0,1,196108.51,0,False,False,True
189,687,Female,3.5553480614894135,7,111388.18,2,1,0,148564.76,0,False,True,False
190,715,Female,3.7376696182833684,8,56214.85,2,0,0,92982.61,1,True,False,False
191,512,Female,3.6109179126442243,3,84327.77,2,1,0,17675.36,0,True,False,False
192,479,Male,3.713572066704308,1,0.0,2,0,0,114996.43,0,True,False,False
193,601,Male,3.4965075614664802,8,93012.89,1,1,0,86957.42,0,True,False,False
194,580,Male,3.4011973816621555,9,61710.44,2,1,0,128077.8,0,False,False,True
195,807,Male,3.58351893845611,3,174790.15,1,1,1,600.36,0,True,False,False
196,616,Female,3.4965075614664802,6,0.0,2,1,1,43001.46,0,False,False,True
197,721,Male,3.6375861597263857,3,107720.64,1,1,1,158591.12,0,False,True,False
198,501,Male,4.060443010546419,10,0.0,2,1,1,47847.19,0,True,False,False
199,521,Male,3.58351893845611,6,96423.84,1,1,0,10488.44,0,True,False,False
200,850,Male,3.4339872044851463,2,141040.01,1,1,1,5978.2,0,False,False,True
201,759,Male,3.7612001156935624,4,105420.18,1,0,1,121409.06,0,True,False,False
202,516,Male,3.9318256327243257,5,0.0,1,0,1,146145.93,1,False,False,True
203,711,Female,3.6635616461296463,2,129022.06,2,1,1,14374.86,1,True,False,False
204,512,Male,3.5263605246161616,3,176666.62,1,1,0,94670.77,0,False,False,True
205,550,Male,3.6375861597263857,3,0.0,1,1,1,179670.31,0,True,False,False
206,608,Female,3.7376696182833684,3,89763.84,1,0,0,199304.74,1,False,False,True
207,618,Male,3.5553480614894135,5,134954.53,1,1,1,151954.39,0,True,False,False
208,643,Male,3.828641396489095,5,0.0,1,1,0,142513.5,1,True,False,False
209,671,Male,3.828641396489095,2,106376.85,1,0,1,158264.62,0,True,False,False
210,689,Male,3.5263605246161616,2,161814.64,2,1,0,169381.9,0,False,True,False
211,603,Male,3.4657359027997265,8,0.0,2,1,1,169915.02,0,True,False,False
212,620,Female,3.7376696182833684,9,0.0,2,0,0,88852.47,0,True,False,False
213,676,Female,3.5553480614894135,1,63095.01,1,1,1,40645.81,0,True,False,False
214,572,Male,3.295836866004329,4,118287.01,2,0,0,60427.3,0,False,True,False
215,668,Male,3.871201010907891,7,106854.21,1,0,1,157959.02,1,False,True,False
216,695,Male,3.8501476017100584,7,49512.55,1,1,0,133007.34,0,True,False,False
217,730,Female,3.5263605246161616,9,0.0,2,0,0,176576.62,0,False,False,True
218,807,Male,3.784189633918261,1,105799.32,2,1,0,34888.04,1,True,False,False
219,592,Male,4.007333185232471,8,0.0,1,1,1,28737.71,1,True,False,False
220,726,Female,3.4657359027997265,9,114722.05,2,1,1,98178.57,0,True,False,False
221,514,Male,3.4339872044851463,7,0.0,1,0,1,125010.24,0,False,False,True
222,567,Male,3.7612001156935624,2,0.0,2,1,1,167984.61,0,True,False,False
223,850,Male,3.5263605246161616,10,0.0,1,1,0,4861.72,1,True,False,False
224,671,Male,3.828641396489095,6,99564.22,1,1,1,108872.45,1,False,True,False
225,670,Male,3.6375861597263857,4,170557.91,2,1,0,198252.88,0,True,False,False
226,694,Female,3.4339872044851463,9,0.0,2,1,1,26960.31,0,True,False,False
227,547,Female,3.6888794541139363,6,74596.15,3,1,1,85746.52,1,False,True,False
228,751,Male,3.9318256327243257,2,96888.39,1,1,0,77206.25,1,False,True,False
229,594,Female,3.4011973816621555,3,130830.22,1,1,0,61048.53,0,False,True,False
230,673,Male,4.290459441148391,1,0.0,2,0,1,111981.19,0,True,False,False
231,610,Male,3.713572066704308,0,0.0,2,1,0,62232.6,0,True,False,False
232,512,Female,3.6375861597263857,1,0.0,2,0,1,156105.03,0,True,False,False
233,767,Male,3.044522437723423,3,119714.25,2,0,1,150135.38,0,False,True,False
234,585,Female,4.219507705176107,5,113978.97,2,0,1,93146.11,0,True,False,False
235,763,Male,3.7612001156935624,6,100160.75,1,1,0,33462.94,1,False,True,False
236,712,Female,3.4011973816621555,2,0.0,1,1,1,144375.0,0,True,False,False
237,539,Female,3.784189633918261,3,116220.5,3,1,0,55803.96,1,False,True,False
238,668,Female,3.8501476017100584,2,0.0,3,1,0,89048.46,1,True,False,False
239,703,Male,3.367295829986474,2,81173.83,2,0,1,162812.16,0,True,False,False
240,662,Male,3.6635616461296463,4,0.0,2,1,0,136259.65,0,False,False,True
241,725,Female,3.6888794541139363,5,116803.8,1,1,0,124052.97,0,False,True,False
242,703,Male,3.6375861597263857,8,105961.68,2,0,1,74158.8,0,True,False,False
243,659,Male,4.219507705176107,6,117411.6,1,1,1,45071.09,1,False,True,False
244,523,Male,3.5553480614894135,7,0.0,2,1,0,62030.06,0,False,False,True
245,635,Female,3.713572066704308,10,123497.58,1,1,0,131953.23,1,True,False,False
246,772,Male,3.295836866004329,7,152400.51,2,1,0,79414.0,0,False,True,False
247,545,Female,3.295836866004329,1,0.0,2,1,1,199638.56,0,True,False,False
248,634,Male,3.2188758248682006,8,103097.85,1,1,1,157577.29,0,False,True,False
249,739,Male,4.007333185232471,8,126418.14,1,1,0,134420.75,1,False,True,False
250,771,Female,3.6109179126442243,5,77846.9,1,0,0,99805.99,0,False,True,False
251,587,Female,3.5553480614894135,1,0.0,2,1,1,97932.68,0,False,False,True
252,681,Female,4.382026634673881,0,0.0,2,0,1,170968.99,0,True,False,False
253,544,Male,3.6375861597263857,2,79731.91,1,1,1,57558.95,0,False,True,False
254,696,Male,3.367295829986474,8,0.0,1,0,0,176713.47,0,False,False,True
255,766,Male,3.7376696182833684,0,0.0,2,0,1,34283.23,0,False,False,True
256,727,Male,3.5553480614894135,10,0.0,2,1,1,198637.34,0,True,False,False
257,671,Female,3.5553480614894135,6,37266.67,2,0,0,156917.12,0,False,True,False
258,693,Female,3.4339872044851463,6,127992.25,1,1,1,50457.2,0,True,False,False
259,850,Male,3.6635616461296463,3,54901.01,1,1,1,140075.55,0,False,True,False
260,732,Male,3.7612001156935624,9,108748.08,2,1,1,65323.11,0,False,True,False
261,726,Female,3.8918202981106265,6,99906.19,1,1,0,64323.24,0,False,False,True
262,557,Female,3.4965075614664802,6,184686.41,2,1,0,14956.44,0,True,False,False
263,682,Female,3.295836866004329,0,110654.02,1,0,1,111879.21,0,True,False,False
264,738,Male,3.4657359027997265,9,79019.8,1,1,1,18606.23,0,False,False,True
265,531,Female,3.6109179126442243,9,99240.51,1,1,0,123137.01,0,False,False,True
266,498,Male,3.5553480614894135,2,0.0,2,1,1,148528.24,0,True,False,False
267,651,Male,3.6109179126442243,7,0.0,2,1,0,13898.31,0,True,False,False
268,549,Female,3.6888794541139363,7,0.0,1,0,0,81259.25,1,False,False,True
269,791,Female,3.58351893845611,7,52436.2,1,1,0,161051.75,0,False,True,False
270,650,Male,3.7376696182833684,9,0.0,2,0,1,191599.67,0,False,False,True
271,733,Male,3.5553480614894135,3,100337.96,3,1,0,48559.19,1,False,True,False
272,811,Female,3.5553480614894135,1,149297.19,2,1,1,186339.74,0,False,True,False
273,707,Male,3.4339872044851463,8,0.0,2,1,0,33159.37,0,True,False,False
274,712,Male,3.367295829986474,4,145605.44,1,0,1,93883.53,0,False,True,False
275,706,Female,3.6375861597263857,7,0.0,2,1,1,110899.3,0,False,False,True
276,756,Male,4.143134726391533,3,0.0,1,1,1,11199.04,1,True,False,False
277,777,Female,3.9889840465642745,10,0.0,2,1,0,189992.97,0,True,False,False
278,646,Male,3.58351893845611,6,84026.86,1,0,1,164255.69,0,True,False,False
279,714,Male,3.8501476017100584,1,0.0,1,1,0,152167.79,1,True,False,False
280,782,Male,3.6888794541139363,8,0.0,2,1,1,33949.67,0,True,False,False
281,775,Male,3.4011973816621555,10,0.0,2,1,1,68143.93,0,False,False,True
282,479,Male,3.58351893845611,4,138718.92,1,1,1,47251.79,1,False,True,False
283,807,Male,3.7612001156935624,7,118274.71,1,1,1,25885.72,0,True,False,False
284,799,Female,3.1354942159291497,8,174185.98,2,0,1,192633.85,0,True,False,False
285,675,Male,3.713572066704308,7,113208.86,2,1,0,34577.36,0,True,False,False
286,602,Male,3.4011973816621555,5,103907.28,1,1,0,161229.84,0,False,False,True
287,475,Female,3.4965075614664802,8,119023.28,1,1,0,100816.29,0,True,False,False
288,744,Female,3.295836866004329,5,166297.89,1,1,1,181694.44,0,False,False,True
289,588,Male,3.5553480614894135,10,0.0,2,1,0,79078.91,0,False,False,True
290,703,Male,3.7612001156935624,9,63227.0,1,0,1,137316.32,0,False,True,False
291,747,Female,3.7376696182833684,5,94521.17,2,1,0,194926.86,0,False,False,True
292,583,Male,3.332204510175204,7,0.0,2,1,0,51285.49,0,True,False,False
293,750,Female,3.5553480614894135,9,112822.26,1,0,0,150401.53,1,False,False,True
294,681,Male,3.6635616461296463,3,0.0,2,1,1,112491.96,0,True,False,False
295,773,Male,3.258096538021482,2,135903.33,1,1,0,73656.38,0,True,False,False
296,714,Female,3.4657359027997265,4,125169.26,1,1,1,106636.89,0,True,False,False
297,687,Female,3.8066624897703196,7,0.0,3,1,0,155853.52,1,False,False,True
298,511,Male,4.07753744390572,0,149117.31,1,1,1,162599.51,0,True,False,False
299,627,Male,3.5263605246161616,5,0.0,2,1,1,103737.82,0,True,False,False
300,694,Female,3.4657359027997265,10,0.0,2,1,0,160990.27,0,True,False,False
301,616,Female,3.6109179126442243,6,132311.71,1,0,0,15462.84,0,False,False,True
302,687,Male,3.58351893845611,8,0.0,2,1,0,10334.05,0,True,False,False
303,712,Female,3.5263605246161616,6,0.0,2,1,1,190686.16,0,True,False,False
304,553,Male,3.5263605246161616,4,118082.89,1,0,0,94440.45,0,True,False,False
305,667,Male,3.4657359027997265,1,119266.69,1,1,1,28257.63,0,True,False,False
306,731,Male,3.784189633918261,2,0.0,1,1,1,170034.95,1,True,False,False
307,629,Male,3.58351893845611,7,156847.29,2,1,0,31824.29,0,False,True,False
308,614,Male,3.9318256327243257,4,137104.47,1,1,0,127166.49,1,True,False,False
309,438,Male,3.4657359027997265,8,78398.69,1,1,0,44937.01,0,False,True,False
310,652,Female,4.394449154672439,4,0.0,2,1,1,188603.07,0,True,False,False
311,729,Male,3.4339872044851463,6,63669.42,1,1,0,145111.37,0,False,True,False
312,642,Male,3.6635616461296463,3,0.0,2,0,0,171463.83,0,True,False,False
313,806,Female,4.0943445622221,0,135296.33,1,1,0,182822.5,0,False,True,False
314,744,Male,3.6109179126442243,2,153804.44,1,1,1,87213.33,0,False,False,True
315,474,Male,3.6375861597263857,3,0.0,2,0,0,57175.32,0,False,False,True
316,559,Male,3.912023005428146,2,147069.78,1,1,0,120540.83,1,True,False,False
317,706,Male,3.7612001156935624,9,0.0,2,1,1,28714.34,0,False,False,True
318,628,Female,3.1354942159291497,3,0.0,1,1,0,85426.28,0,False,False,True
319,429,Male,3.2188758248682006,4,95741.75,1,1,0,46170.75,0,True,False,False
320,525,Female,4.060443010546419,2,145965.33,1,1,1,64448.36,0,False,False,True
321,680,Female,3.4339872044851463,8,141441.75,1,1,1,16278.97,0,True,False,False
322,749,Male,3.713572066704308,1,139290.41,1,1,0,182855.42,1,True,False,False
323,763,Female,3.4657359027997265,4,0.0,2,0,0,50404.72,0,True,False,False
324,734,Male,3.4339872044851463,3,0.0,2,1,0,107640.25,0,True,False,False
325,716,Male,3.58351893845611,4,144428.87,1,1,0,134132.65,0,True,False,False
326,594,Male,3.58351893845611,2,0.0,2,1,0,103480.69,0,True,False,False
327,644,Female,3.8501476017100584,9,95441.27,1,1,0,108761.05,1,True,False,False
328,671,Male,3.58351893845611,1,144848.74,1,1,1,179012.3,0,False,True,False
329,664,Male,3.295836866004329,7,116244.14,2,1,1,95145.14,0,False,True,False
330,656,Male,3.9318256327243257,7,0.0,2,0,1,72143.44,0,True,False,False
331,667,Female,3.713572066704308,1,146502.07,1,1,0,19162.89,0,False,False,True
332,663,Male,3.8066624897703196,2,117028.6,2,0,1,144680.18,0,False,True,False
333,584,Female,3.4339872044851463,8,112013.81,1,1,0,177772.03,1,False,True,False
334,626,Female,3.6375861597263857,6,108269.37,1,1,0,5597.94,0,False,False,True
